epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,3.5907789424527436e-05,3.5916571505367756e-05
1,0.0010000000474974513,3.599632691475563e-05,3.5854314774041995e-05
2,0.0010000000474974513,3.4901830076705664e-05,3.4056196454912424e-05
3,0.0010000000474974513,3.3720614737831056e-05,3.427065530559048e-05
4,0.0010000000474974513,3.3402448025299236e-05,3.230102811357938e-05
5,0.0010000000474974513,3.163207657053135e-05,3.1349507480626926e-05
6,0.0010000000474974513,3.1122570362640545e-05,3.0497451007249765e-05
7,0.0010000000474974513,3.066588760702871e-05,3.0561965104425326e-05
8,0.0010000000474974513,2.9255537810968235e-05,3.0525654437951744e-05
9,0.0010000000474974513,2.9571923732873984e-05,3.0710147257195786e-05
10,0.0010000000474974513,2.9565913791884668e-05,2.9970893592690118e-05
11,0.00010000000474974513,2.87584316538414e-05,2.8155036488897167e-05
12,0.00010000000474974513,2.8222519176779315e-05,2.8330057830316946e-05
13,0.00010000000474974513,2.7706948458217084e-05,2.7991991373710334e-05
14,0.00010000000474974513,2.756269350356888e-05,2.6969075406668708e-05
15,0.00010000000474974513,2.7306759875500575e-05,2.69388565357076e-05
16,0.00010000000474974513,2.66808729065815e-05,2.64185309788445e-05
17,0.00010000000474974513,2.671370020834729e-05,2.6231378797092475e-05
18,0.00010000000474974513,2.602062886580825e-05,2.6847079425351694e-05
19,0.00010000000474974513,2.6153793442063034e-05,2.6082094336743467e-05
20,0.00010000000474974513,2.616516940179281e-05,2.5959498088923283e-05
21,1.0000000656873453e-05,2.643269363034051e-05,2.620556188048795e-05
22,1.0000000656873453e-05,2.611536910990253e-05,2.5462928533670492e-05
23,1.0000000656873453e-05,2.588170173112303e-05,2.5658595404820517e-05
24,1.0000000656873453e-05,2.5909421310643665e-05,2.5918547180481255e-05
25,1.0000000656873453e-05,2.562179543019738e-05,2.6174282538704574e-05
26,1.0000000656873453e-05,2.5607369025237858e-05,2.6099134629475884e-05
27,1.0000000656873453e-05,2.5350873329443857e-05,2.6258170692017302e-05
28,1.0000000656873453e-05,2.5847200959105976e-05,2.586062328191474e-05
29,1.0000000656873453e-05,2.5546321921865456e-05,2.5346147594973445e-05
30,1.0000000656873453e-05,2.6008186978287995e-05,2.5617220671847463e-05
31,1.0000001111620804e-06,2.5527575417072512e-05,2.6006950065493584e-05
32,1.0000001111620804e-06,2.5304132577730343e-05,2.5598332285881042e-05
33,1.0000001111620804e-06,2.5576306143193506e-05,2.535498970246408e-05
34,1.0000001111620804e-06,2.5748357074917294e-05,2.5459297830821015e-05
35,1.0000001111620804e-06,2.5456985895289108e-05,2.659254641912412e-05
36,1.0000001111620804e-06,2.5474102585576475e-05,2.509811929485295e-05
37,1.0000001111620804e-06,2.5458441086811945e-05,2.632702853588853e-05
38,1.0000001111620804e-06,2.5507781174383126e-05,2.5186993298120797e-05
39,1.0000001111620804e-06,2.5869860110105947e-05,2.592049895611126e-05
40,1.0000001111620804e-06,2.5423978513572365e-05,2.5632709366618656e-05
41,9.999999974752427e-07,2.5826973796938546e-05,2.5216028006980196e-05
42,9.999999974752427e-07,2.547425901866518e-05,2.5718005417729728e-05
43,9.999999974752427e-07,2.592281271063257e-05,2.562423105700873e-05
44,9.999999974752427e-07,2.5485656806267798e-05,2.5142850063275546e-05
45,9.999999974752427e-07,2.5348250346723944e-05,2.5856188585748896e-05
46,9.999999974752427e-07,2.5887353331199847e-05,2.5462710254942067e-05
47,9.999999974752427e-07,2.541018693591468e-05,2.620782470330596e-05
48,9.999999974752427e-07,2.581641274446156e-05,2.5767349143279716e-05
49,9.999999974752427e-07,2.6137609893339686e-05,2.6327350497012958e-05
50,9.999999974752427e-07,2.566253169788979e-05,2.538520493544638e-05
51,9.999999974752427e-07,2.5571949663572013e-05,2.552959995227866e-05
