epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,3.5982782719656825e-05,3.81995014322456e-05
1,0.0010000000474974513,3.557202217052691e-05,3.538052988005802e-05
2,0.0010000000474974513,3.493259282549843e-05,3.4150587453041226e-05
3,0.0010000000474974513,3.390533311176114e-05,3.395271050976589e-05
4,0.0010000000474974513,3.307379665784538e-05,3.2492956961505115e-05
5,0.0010000000474974513,3.2886113331187516e-05,3.2950734748737887e-05
6,0.0010000000474974513,3.182438376825303e-05,3.147549068671651e-05
7,0.0010000000474974513,3.0750950827496126e-05,3.1211395253194496e-05
8,0.0010000000474974513,3.092554834438488e-05,3.041787931579165e-05
9,0.0010000000474974513,3.01732598018134e-05,2.999608841491863e-05
10,0.0010000000474974513,2.986295658047311e-05,2.8892347472719848e-05
11,0.00010000000474974513,2.930480331997387e-05,2.7215446607442573e-05
12,0.00010000000474974513,2.8304229999775998e-05,2.8725979063892737e-05
13,0.00010000000474974513,2.8181208108435385e-05,2.7683414373314008e-05
14,0.00010000000474974513,2.7943642635364085e-05,2.7953245080425404e-05
15,0.00010000000474974513,2.8281661798246205e-05,2.759275957942009e-05
16,0.00010000000474974513,2.7871912607224658e-05,2.722649514907971e-05
17,0.00010000000474974513,2.7311740268487483e-05,2.7613174097496085e-05
18,0.00010000000474974513,2.790576036204584e-05,2.655977732501924e-05
19,0.00010000000474974513,2.74750327662332e-05,2.678878081496805e-05
20,0.00010000000474974513,2.68420553766191e-05,2.7426205633673817e-05
21,1.0000000656873453e-05,2.6876361516769975e-05,2.6384952434455045e-05
22,1.0000000656873453e-05,2.695226066862233e-05,2.678943201317452e-05
23,1.0000000656873453e-05,2.7051466531702317e-05,2.6276908101863228e-05
24,1.0000000656873453e-05,2.6850182621274143e-05,2.6727257136371918e-05
25,1.0000000656873453e-05,2.6612906367518008e-05,2.6765554139274172e-05
26,1.0000000656873453e-05,2.6698024157667533e-05,2.6882238671532832e-05
27,1.0000000656873453e-05,2.6572788556222804e-05,2.636374847497791e-05
28,1.0000000656873453e-05,2.6508983864914626e-05,2.6212053853669204e-05
29,1.0000000656873453e-05,2.6740834073279984e-05,2.665354077180382e-05
30,1.0000000656873453e-05,2.6995168809662573e-05,2.654800482559949e-05
31,1.0000001111620804e-06,2.6539562895777635e-05,2.6539808459347114e-05
32,1.0000001111620804e-06,2.637854231579695e-05,2.724425030464772e-05
33,1.0000001111620804e-06,2.651190516189672e-05,2.611646596051287e-05
34,1.0000001111620804e-06,2.6708679797593504e-05,2.6498153602005914e-05
35,1.0000001111620804e-06,2.6669427825254388e-05,2.5779920179047622e-05
36,1.0000001111620804e-06,2.666258114913944e-05,2.5412087779841386e-05
37,1.0000001111620804e-06,2.6935607820632868e-05,2.7060428692493588e-05
38,1.0000001111620804e-06,2.661459984665271e-05,2.6317966330680065e-05
39,1.0000001111620804e-06,2.7087107810075395e-05,2.6445111870998517e-05
40,1.0000001111620804e-06,2.6873591195908375e-05,2.624856642796658e-05
41,9.999999974752427e-07,2.6994750442099757e-05,2.647335350047797e-05
42,9.999999974752427e-07,2.650453279784415e-05,2.64066802628804e-05
43,9.999999974752427e-07,2.6891457309830002e-05,2.5984953026636504e-05
44,9.999999974752427e-07,2.6962452466250397e-05,2.6437242922838777e-05
45,9.999999974752427e-07,2.685048821149394e-05,2.5887782612699084e-05
46,9.999999974752427e-07,2.6565941880107857e-05,2.7197940653422847e-05
47,9.999999974752427e-07,2.6530600734986365e-05,2.6467419957043603e-05
48,9.999999974752427e-07,2.6198891646345146e-05,2.6700245143729262e-05
49,9.999999974752427e-07,2.662970837263856e-05,2.6026909836218692e-05
50,9.999999974752427e-07,2.6648051061783917e-05,2.6205545509583317e-05
51,9.999999974752427e-07,2.657600816746708e-05,2.6766967494040728e-05
